area,item,unit,year,value
Bangladesh,Cattle,kt,2021,1003.8922
Bangladesh,Cattle,kt,2022,1010.23
Bangladesh,Cattle,kt,2023,1016.624
Bangladesh,Goats,kt,2010,120.9362
Bangladesh,Goats,kt,2011,125.4775
Bangladesh,Goats,kt,2012,130.502
Bangladesh,Goats,kt,2013,131.3385
Bangladesh,Goats,kt,2014,132.1803
Bangladesh,Goats,kt,2015,133.0272
Bangladesh,Goats,kt,2016,133.8794
Bangladesh,Goats,kt,2017,134.7367
Bangladesh,Goats,kt,2018,135.6148
Bangladesh,Goats,kt,2019,136.4825
Bangladesh,Goats,kt,2020,137.3555
Bangladesh,Goats,kt,2021,138.2336
Bangladesh,Goats,kt,2022,139.1169
Bangladesh,Goats,kt,2023,140.0054
Bangladesh,Sheep,kt,2010,15.4089
Bangladesh,Sheep,kt,2011,15.5383
Bangladesh,Sheep,kt,2012,15.9523
Bangladesh,Sheep,kt,2013,16.2681
Bangladesh,Sheep,kt,2014,16.5942
Bangladesh,Sheep,kt,2015,16.9254
Bangladesh,Sheep,kt,2016,17.2619
Bangladesh,Sheep,kt,2017,17.6035
Bangladesh,Sheep,kt,2018,17.9503
Bangladesh,Sheep,kt,2019,18.3074
Bangladesh,Sheep,kt,2020,18.6697
Bangladesh,Sheep,kt,2021,19.0424
Bangladesh,Sheep,kt,2022,19.4202
Bangladesh,Sheep,kt,2023,19.8084
Bhutan,Buffalo,kt,2010,2.6248
Bhutan,Buffalo,kt,2011,2.7897
Bhutan,Buffalo,kt,2012,2.5966
Bhutan,Buffalo,kt,2013,2.7821
Bhutan,Buffalo,kt,2014,2.7577
Bhutan,Buffalo,kt,2015,2.8213
Bhutan,Buffalo,kt,2016,2.9928
Bhutan,Buffalo,kt,2017,3.0318
Bhutan,Buffalo,kt,2018,3.0689
Bhutan,Buffalo,kt,2019,3.1122
Bhutan,Buffalo,kt,2020,3.0895
Bhutan,Buffalo,kt,2021,2.9816
Bhutan,Buffalo,kt,2022,3.2982
Bhutan,Buffalo,kt,2023,3.4981
Bhutan,Cattle,kt,2010,10.142
Bhutan,Cattle,kt,2011,10.0364
Bhutan,Cattle,kt,2012,10.0218
Bhutan,Cattle,kt,2013,10.1843
Bhutan,Cattle,kt,2014,10.3264
Bhutan,Cattle,kt,2015,10.5986
Bhutan,Cattle,kt,2016,10.9546
Bhutan,Cattle,kt,2017,11.0892
Bhutan,Cattle,kt,2018,11.6031
Bhutan,Cattle,kt,2019,11.4033
Bhutan,Cattle,kt,2020,10.7668
Bhutan,Cattle,kt,2021,10.8047
Bhutan,Cattle,kt,2022,9.5284
Bhutan,Cattle,kt,2023,8.3541
Bhutan,Goats,kt,2010,0.2204
Bhutan,Goats,kt,2011,0.2235
Bhutan,Goats,kt,2012,0.1994
Bhutan,Goats,kt,2013,0.2006
Bhutan,Goats,kt,2014,0.2497
Bhutan,Goats,kt,2015,0.2145
Bhutan,Goats,kt,2016,0.2019
Bhutan,Goats,kt,2017,0.2181
Bhutan,Goats,kt,2018,0.224
Bhutan,Goats,kt,2019,0.2439
Bhutan,Goats,kt,2020,0.2254
Bhutan,Goats,kt,2021,0.3044
Bhutan,Goats,kt,2022,0.2862
Bhutan,Goats,kt,2023,0.3107
Bhutan,Sheep,kt,2010,0.0648
Bhutan,Sheep,kt,2011,0.0635
Bhutan,Sheep,kt,2012,0.055
Bhutan,Sheep,kt,2013,0.0506
Bhutan,Sheep,kt,2014,0.055
Bhutan,Sheep,kt,2015,0.0582
Bhutan,Sheep,kt,2016,0.0575
Bhutan,Sheep,kt,2017,0.0533
Bhutan,Sheep,kt,2018,0.0554
Bhutan,Sheep,kt,2019,0.0585
Bhutan,Sheep,kt,2020,0.055
Bhutan,Sheep,kt,2021,0.0545
Bhutan,Sheep,kt,2022,0.0511
Bhutan,Sheep,kt,2023,0.048
Bhutan,Swine,kt,2010,0.0591
Bhutan,Swine,kt,2011,0.0635
Bhutan,Swine,kt,2012,0.0576
Bhutan,Swine,kt,2013,0.0461
