Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2019,2019,kg/cap,1.81,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2019,2019,kcal/cap/d,6.84,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2019,2019,g/cap/d,0.82,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2020,2020,kg/cap,1.64,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2020,2020,kcal/cap/d,6.19,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2020,2020,g/cap/d,0.74,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2021,2021,kg/cap,1.52,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2021,2021,kcal/cap/d,5.73,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2021,2021,g/cap/d,0.68,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2022,2022,kg/cap,0.87,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2022,2022,kcal/cap/d,3.29,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2022,2022,g/cap/d,0.39,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2023,2023,kg/cap,0.81,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2023,2023,kcal/cap/d,3.08,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2023,2023,g/cap/d,0.37,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2735,"Meat, Other",2010,2010,kg/cap,0.37,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2735,"Meat, Other",2010,2010,kcal/cap/d,1.38,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2735,"Meat, Other",2010,2010,g/cap/d,0.19,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2735,"Meat, Other",2011,2011,kg/cap,0.35,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2735,"Meat, Other",2011,2011,kcal/cap/d,1.32,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2735,"Meat, Other",2011,2011,g/cap/d,0.18,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2735,"Meat, Other",2012,2012,kg/cap,0.37,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2735,"Meat, Other",2012,2012,kcal/cap/d,1.38,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2735,"Meat, Other",2012,2012,g/cap/d,0.19,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2735,"Meat, Other",2013,2013,kg/cap,0.38,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2735,"Meat, Other",2013,2013,kcal/cap/d,1.42,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2735,"Meat, Other",2013,2013,g/cap/d,0.19,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2735,"Meat, Other",2014,2014,kg/cap,0.38,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2735,"Meat, Other",2014,2014,kcal/cap/d,1.41,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2735,"Meat, Other",2014,2014,g/cap/d,0.19,E,Estimated value,
